rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.64806338E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.99600888E-07
1.96007821E-04  1.86306342E-01  -2.28204480E-06  1.07761552E-06  4.23767895E-05  4.95402154E-07
1.98037447E-04  1.86741614E-01  -2.34579817E-06  1.07896610E-06  4.27962679E-05  4.95315719E-07
2.00070911E-04  1.87181710E-01  -2.41063410E-06  1.08032380E-06  4.32159568E-05  4.95228268E-07
2.02108177E-04  1.87626629E-01  -2.47655492E-06  1.08168843E-06  4.36358404E-05  4.95139797E-07
2.04149216E-04  1.88076373E-01  -2.54356288E-06  1.08305978E-06  4.40559042E-05  4.95050306E-07
2.06194009E-04  1.88530945E-01  -2.61166023E-06  1.08443765E-06  4.44761356E-05  4.94959791E-07
2.08242520E-04  1.88990344E-01  -2.68084848E-06  1.08582185E-06  4.48965187E-05  4.94868251E-07
2.10294728E-04  1.89454572E-01  -2.75112933E-06  1.08721218E-06  4.53170410E-05  4.94775682E-07
2.12350609E-04  1.89923629E-01  -2.82250406E-06  1.08860844E-06  4.57376886E-05  4.94682083E-07
2.14410134E-04  1.90397515E-01  -2.89497360E-06  1.09001042E-06  4.61584473E-05  4.94587452E-07
2.16473278E-04  1.90876229E-01  -2.96853863E-06  1.09141792E-06  4.65793032E-05  4.94491786E-07
2.18540019E-04  1.91359771E-01  -3.04319976E-06  1.09283075E-06  4.70002433E-05  4.94395084E-07
2.20608195E-04  1.91847635E-01  -3.11887854E-06  1.09424724E-06  4.74208199E-05  4.94297444E-07
2.22677849E-04  1.92339821E-01  -3.19557440E-06  1.09566722E-06  4.78410348E-05  4.94198864E-07
2.24748611E-04  1.92836232E-01  -3.27327110E-06  1.09709024E-06  4.82608065E-05  4.94099362E-07
2.26821194E-04  1.93337033E-01  -3.35199299E-06  1.09851662E-06  4.86802733E-05  4.93998903E-07
2.28895033E-04  1.93842078E-01  -3.43171601E-06  1.09994576E-06  4.90993139E-05  4.93897513E-07
2.30970334E-04  1.94351409E-01  -3.51244506E-06  1.10137762E-06  4.95179636E-05  4.93795183E-07
2.33047237E-04  1.94865051E-01  -3.59418262E-06  1.10281211E-06  4.99362439E-05  4.93691904E-07
2.35125398E-04  1.95382910E-01  -3.67691184E-06  1.10424881E-06  5.03540789E-05  4.93587694E-07
2.37205150E-04  1.95905061E-01  -3.76064255E-06  1.10568776E-06  5.07715293E-05  4.93482536E-07
2.39286483E-04  1.96431492E-01  -3.84537085E-06  1.10712877E-06  5.11885864E-05  4.93376429E-07
2.41369286E-04  1.96962167E-01  -3.93108852E-06  1.10857157E-06  5.16052211E-05  4.93269380E-07
2.43453394E-04  1.97497033E-01  -4.01778466E-06  1.11001589E-06  5.20213941E-05  4.93161395E-07
2.45539276E-04  1.98036201E-01  -4.10547479E-06  1.11146185E-06  5.24371924E-05  4.93052451E-07
2.47626694E-04  1.98579602E-01  -4.19414481E-06  1.11290912E-06  5.28525620E-05  4.92942559E-07
2.49715677E-04  1.99127233E-01  -4.28379152E-06  1.11435754E-06  5.32675017E-05  4.92831717E-07
2.51806104E-04  1.99679053E-01  -4.37440521E-06  1.11580685E-06  5.36819814E-05  4.92719932E-07
2.53898165E-04  2.00235101E-01  -4.46598934E-06  1.11725701E-06  5.40960318E-05  4.92607193E-07
2.55991883E-04  2.00795376E-01  -4.55854016E-06  1.11870785E-06  5.45096508E-05  4.92493498E-07
2.58087121E-04  2.01359830E-01  -4.65204665E-06  1.12015912E-06  5.49228049E-05  4.92378854E-07
2.60183899E-04  2.01928458E-01  -4.74650451E-06  1.12161066E-06  5.53354914E-05  4.92263260E-07
2.62282416E-04  2.02501305E-01  -4.84191748E-06  1.12306243E-06  5.57477428E-05  4.92146705E-07
2.64382703E-04  2.03078368E-01  -4.93828168E-06  1.12451429E-06  5.61595583E-05  4.92029186E-07
2.66484666E-04  2.03659614E-01  -5.03558746E-06  1.12596601E-06  5.65709130E-05  4.91910709E-07
2.68588637E-04  2.04245123E-01  -5.13384469E-06  1.12741766E-06  5.69818647E-05  4.91791253E-07
2.70693967E-04  2.04834706E-01  -5.23301736E-06  1.12886862E-06  5.73922801E-05  4.91670855E-07
2.72801079E-04  2.05428468E-01  -5.33311928E-06  1.13031902E-06  5.78022349E-05  4.91549491E-07
2.74909812E-04  2.06026356E-01  -5.43413692E-06  1.13176861E-06  5.82116915E-05  4.91427169E-07
2.77020435E-04  2.06628433E-01  -5.53607698E-06  1.13321739E-06  5.86206950E-05  4.91303875E-07
2.79132808E-04  2.07234650E-01  -5.63892656E-06  1.13466513E-06  5.90292115E-05  4.91179614E-07
2.81247213E-04  2.07845078E-01  -5.74269327E-06  1.13611185E-06  5.94372889E-05  4.91054371E-07
2.83363127E-04  2.08459556E-01  -5.84734496E-06  1.13755706E-06  5.98448193E-05  4.90928176E-07
2.85480883E-04  2.09078167E-01  -5.95289142E-06  1.13900082E-06  6.02518603E-05  4.90801008E-07
2.87600617E-04  2.09700942E-01  -6.05933288E-06  1.14044307E-06  6.06584311E-05  4.90672859E-07
2.89722279E-04  2.10327855E-01  -6.16666025E-06  1.14188364E-06  6.10645153E-05  4.90543731E-07
2.91845672E-04  2.10958836E-01  -6.27485665E-06  1.14332225E-06  6.14700681E-05  4.90413636E-07
2.93971142E-04  2.11593978E-01  -6.38393285E-06  1.14475899E-06  6.18751489E-05  4.90282553E-07
2.96098328E-04  2.12233162E-01  -6.49386335E-06  1.14619346E-06  6.22796823E-05  4.90150503E-07
2.98227316E-04  2.12876401E-01  -6.60464527E-06  1.14762558E-06  6.26836776E-05  4.90017480E-07
3.00358268E-04  2.13523732E-01  -6.71627983E-06  1.14905534E-06  6.30871589E-05  4.89883474E-07
3.02491410E-04  2.14175213E-01  -6.82877171E-06  1.15048273E-06  6.34901618E-05  4.89748470E-07
3.04626278E-04  2.14830692E-01  -6.94208912E-06  1.15190731E-06  6.38925920E-05  4.89612497E-07
3.06763215E-04  2.15490261E-01  -7.05624269E-06  1.15332918E-06  6.42945071E-05  4.89475533E-07
3.08902239E-04  2.16153915E-01  -7.17122603E-06  1.15474821E-06  6.46959037E-05  4.89337576E-07
3.11043164E-04  2.16821583E-01  -7.28702150E-06  1.15616416E-06  6.50967399E-05  4.89198638E-07
3.13186166E-04  2.17493310E-01  -7.40363091E-06  1.15757700E-06  6.54970417E-05  4.89058706E-07
3.15331103E-04  2.18169037E-01  -7.52103873E-06  1.15898652E-06  6.58967756E-05  4.88917790E-07
3.17478227E-04  2.18848833E-01  -7.63925100E-06  1.16039275E-06  6.62959817E-05  4.88775873E-07
3.19627579E-04  2.19532699E-01  -7.75826222E-06  1.16179560E-06  6.66946605E-05  4.88632951E-07
3.21778783E-04  2.20220502E-01  -7.87804359E-06  1.16319471E-06  6.70927354E-05  4.88489049E-07
3.23932140E-04  2.20912327E-01  -7.99860374E-06  1.16459013E-06  6.74902550E-05  4.88344146E-07
3.26087727E-04  2.21608185E-01  -8.11993902E-06  1.16598181E-06  6.78872266E-05  4.88198237E-07
3.28245389E-04  2.22308014E-01  -8.24203254E-06  1.16736953E-06  6.82836145E-05  4.88051331E-07
3.30405068E-04  2.23011783E-01  -8.36487285E-06  1.16875313E-06  6.86794013E-05  4.87903433E-07
3.32566887E-04  2.23719518E-01  -8.48845854E-06  1.17013258E-06  6.90746025E-05  4.87754533E-07
3.34731124E-04  2.24431298E-01  -8.61279728E-06  1.17150795E-06  6.94692616E-05  4.87604612E-07
3.36897420E-04  2.25146992E-01  -8.73786027E-06  1.17287889E-06  6.98633064E-05  4.87453694E-07
3.39066032E-04  2.25866672E-01  -8.86365380E-06  1.17424546E-06  7.02567762E-05  4.87301761E-07
3.41236789E-04  2.26590267E-01  -8.99015962E-06  1.17560744E-06  7.06496333E-05  4.87148824E-07
3.43409626E-04  2.27317744E-01  -9.11736531E-06  1.17696468E-06  7.10418586E-05  4.86994888E-07
3.45584895E-04  2.28049205E-01  -9.24528299E-06  1.17831731E-06  7.14335090E-05  4.86839926E-07
3.47762560E-04  2.28784627E-01  -9.37390204E-06  1.17966519E-06  7.18245702E-05  4.86683942E-07
3.49942493E-04  2.29523952E-01  -9.50320639E-06  1.18100815E-06  7.22150125E-05  4.86526944E-07
