,rho,ne,v_phi,Te,E_rho
154,0.00077,0.53164089,-0.00032451688,1.2324648e-06,0.0002348940000000031
155,0.000775,0.53464769,-0.00032640505,1.2315818e-06,0.00023570399999999793
156,0.00078,0.5376514,-0.00032826715,1.2306797e-06,0.00023650799999999216
157,0.000785,0.5406518,-0.00033010325,1.229759e-06,0.00023730200000001366
158,0.00079,0.54364868,-0.00033191339,1.2288202e-06,0.00023808199999998436
159,0.000795,0.54664183,-0.00033369763,1.2278639e-06,0.00023885400000001075
160,0.0008,0.54963102,-0.00033545604,1.2268906e-06,0.00023961600000000087
161,0.000805,0.55261606,-0.00033718869,1.2259009e-06,0.0002403659999999898
162,0.00081,0.55559674,-0.00033889565,1.2248951e-06,0.00024110800000001848
163,0.000815,0.55857286,-0.00034057701,1.2238738e-06,0.00024183799999999317
164,0.00082,0.56154422,-0.00034223286,1.2228376e-06,0.00024255800000000033
165,0.000825,0.56451062,-0.00034386328,1.2217868e-06,0.0002432679999999924
166,0.00083,0.56747188,-0.00034546838,1.2207219e-06,0.00024396999999999781
167,0.000835,0.57042779,-0.00034704825,1.2196435e-06,0.00024465800000001597
168,0.00084,0.57337819,-0.000348603,1.2185519e-06,0.00024533999999999114
169,0.000845,0.57632287,-0.00035013273,1.2174477e-06,0.00024600800000000025
170,0.00085,0.57926167,-0.00035163757,1.2163312e-06,0.00024666999999999295
171,0.000855,0.5821944,-0.00035311763,1.2152029e-06,0.0002473180000000089
172,0.00086,0.58512089,-0.00035457304,1.2140632e-06,0.00024796000000000843
173,0.000865,0.58804098,-0.0003560039,1.2129126e-06,0.00024858799999999946
174,0.00087,0.59095448,-0.00035741036,1.2117514e-06,0.00024920999999998995
175,0.000875,0.59386124,-0.00035879254,1.2105801e-06,0.0002498200000000005
176,0.00088,0.5967611,-0.00036015058,1.209399e-06,0.00025041999999999583
177,0.000885,0.59965389,-0.00036148461,1.2082086e-06,0.00025101200000000456
178,0.00089,0.60253945,-0.00036279478,1.2070092e-06,0.0002515919999999964
179,0.000895,0.60541765,-0.00036408122,1.2058012e-06,0.0002521640000000118
180,0.0009,0.60828831,-0.00036534408,1.2045849e-06,0.00025272599999999636
181,0.000905,0.61115131,-0.00036658351,1.2033608e-06,0.00025327799999998705
182,0.00091,0.61400649,-0.00036779964,1.2021292e-06,0.00025382000000000497
183,0.000915,0.6168537,-0.00036899265,1.2008904e-06,0.0002543520000000078
184,0.00092,0.61969282,-0.00037016267,1.1996448e-06,0.0002548779999999889
185,0.000925,0.62252371,-0.00037130986,1.1983927e-06,0.0002553920000000111
186,0.00093,0.62534623,-0.00037243438,1.1971344e-06,0.00025589599999999705
187,0.000935,0.62816025,-0.00037353638,1.1958702e-06,0.00025638999999999464
188,0.00094,0.63096565,-0.00037461603,1.1946005e-06,0.0002568780000000017
189,0.000945,0.6337623,-0.00037567349,1.1933256e-06,0.000257353999999992
190,0.00095,0.63655007,-0.00037670891,1.1920457e-06,0.00025782200000001675
191,0.000955,0.63932886,-0.00037772246,1.1907612e-06,0.000258277999999998
192,0.00096,0.64209854,-0.0003787143,1.1894724e-06,0.0002587299999999859
193,0.000965,0.644859,-0.0003796846,1.1881795e-06,0.00025916800000000775
194,0.00097,0.64761012,-0.00038063353,1.1868828e-06,0.00025960000000000783
195,0.000975,0.65035181,-0.00038156124,1.1855826e-06,0.0002600219999999984
196,0.00098,0.65308395,-0.00038246791,1.1842791e-06,0.00026043599999999107
197,0.000985,0.65580644,-0.00038335371,1.1829726e-06,0.0002608380000000094
