radius	number_density	azimuthal_velocity	temperature	radial_electric_field
0.00524	1.0157461	-1.7785076e-05	9.8730131e-07	2.1975602472965355e-05
0.005245	1.0156883	-1.7670396e-05	9.8736642e-07	2.1876267646051564e-05
0.00525	1.0156306	-1.7556346e-05	9.8743129e-07	2.1777335875255517e-05
0.005255	1.0155731	-1.7442923e-05	9.8749593e-07	2.1678805559085e-05
0.00526	1.0155157	-1.7330123e-05	9.8756034e-07	2.1580675599285354e-05
0.005265	1.0154584	-1.7217945e-05	9.8762452e-07	2.1482944900349356e-05
0.00527	1.0154014	-1.7106386e-05	9.8768847e-07	2.1385611369504128e-05
0.005275	1.0153444	-1.6995443e-05	9.8775218e-07	2.128867441764613e-05
0.00528	1.0152876	-1.6885114e-05	9.8781567e-07	2.119213245790322e-05
0.005285	1.015231	-1.6775395e-05	9.8787893e-07	2.109598390657025e-05
0.00529	1.0151745	-1.6666285e-05	9.8794195e-07	2.1000227683094054e-05
0.005295	1.0151181	-1.655778e-05	9.8800474e-07	2.09048627095865e-05
0.0053	1.0150619	-1.6449879e-05	9.8806731e-07	2.0809887410811806e-05
0.005305	1.0150058	-1.6342578e-05	9.8812964e-07	2.071530071464538e-05
0.00531	1.0149499	-1.6235875e-05	9.8819175e-07	2.0621101051588322e-05
0.005315	1.0148941	-1.6129767e-05	9.8825362e-07	2.0527287355225445e-05
0.00532	1.0148385	-1.6024252e-05	9.8831526e-07	2.043385806174092e-05
0.005325	1.014783	-1.5919327e-05	9.8837668e-07	2.0340812110375443e-05
0.00533	1.0147277	-1.581499e-05	9.8843786e-07	2.024814794294294e-05
0.005335	1.0146725	-1.5711238e-05	9.8849882e-07	2.0155864504287072e-05
0.00534	1.0146175	-1.5608069e-05	9.8855954e-07	2.006396024179894e-05
0.005345	1.0145626	-1.5505479e-05	9.8862004e-07	1.997243410587283e-05
0.00535	1.0145078	-1.5403467e-05	9.8868031e-07	1.9881285049424916e-05
0.005355	1.0144532	-1.530203e-05	9.8874035e-07	1.979051152788148e-05
0.00536	1.0143988	-1.5201166e-05	9.8880017e-07	1.9700111999633683e-05
0.005365	1.0143445	-1.5100871e-05	9.8885975e-07	1.9610085426023647e-05
0.00537	1.0142903	-1.5001144e-05	9.8891911e-07	1.9520430770865226e-05
0.005375	1.0142363	-1.4901981e-05	9.8897824e-07	1.9431146500432514e-05
0.00538	1.0141825	-1.4803381e-05	9.8903714e-07	1.9342231083913065e-05
0.005385	1.0141287	-1.4705341e-05	9.8909581e-07	1.9253683993394425e-05
0.00539	1.0140752	-1.4607858e-05	9.8915426e-07	1.916550320292296e-05
0.005395	1.0140218	-1.451093e-05	9.8921248e-07	1.9077687689885015e-05
0.0054	1.0139685	-1.4414555e-05	9.8927047e-07	1.899023643406547e-05
0.005405	1.0139154	-1.431873e-05	9.8932824e-07	1.890314791763675e-05
0.00541	1.0138624	-1.4223452e-05	9.8938578e-07	1.881642112560976e-05
0.005415	1.0138095	-1.4128719e-05	9.894431e-07	1.8730055045359203e-05
0.00542	1.0137569	-1.4034528e-05	9.8950019e-07	1.8644047666612614e-05
0.005425	1.0137043	-1.3940878e-05	9.8955706e-07	1.8558398482361258e-05
0.00543	1.0136519	-1.3847766e-05	9.896137e-07	1.847310598746379e-05
0.005435	1.0135997	-1.3755189e-05	9.8967011e-07	1.8388168679557688e-05
0.00544	1.0135476	-1.3663144e-05	9.8972631e-07	1.8303585559046452e-05
0.005445	1.0134956	-1.357163e-05	9.8978227e-07	1.8219355628627837e-05
0.00545	1.0134438	-1.3480645e-05	9.8983802e-07	1.8135477393283215e-05
0.005455	1.0133922	-1.3390185e-05	9.8989354e-07	1.8051949360725494e-05
0.00546	1.0133406	-1.3300248e-05	9.8994884e-07	1.7968771041386576e-05
0.005465	1.0132893	-1.3210831e-05	9.9000391e-07	1.788594044749e-05
0.00547	1.0132381	-1.3121934e-05	9.9005876e-07	1.780345659441393e-05
0.005475	1.013187	-1.3033552e-05	9.9011339e-07	1.77213184997634e-05
0.00548	1.0131361	-1.2945684e-05	9.901678e-07	1.763952468336024e-05
0.005485	1.0130853	-1.2858328e-05	9.9022199e-07	1.7558074167688728e-05
0.00549	1.0130346	-1.277148e-05	9.9027595e-07	1.747696597742812e-05
0.005495	1.0129841	-1.2685139e-05	9.903297e-07	1.739619863944262e-05
